Eatery_Id,Eatery_Name,City,Country_Code,Cuisines,Price_Range,Average_Cost_For_Two,Online_Delivery,Deliverying_Available,Table_Booking_Available,Aggregate_Rating,Rating_Text,Votes,Currency
306910,Bharat Sweets,New Delhi,1,Mithai,1,100,0,0,0,3.0,Average,11,Rs.
312589,Chawla Family Restaurant,New Delhi,1,North Indian,2,700,1,0,0,2.9,Average,8,Rs.
312589,Chawla Family Restaurant,New Delhi,1,Chinese,2,700,1,0,0,2.9,Average,8,Rs.
312589,Chawla Family Restaurant,New Delhi,1,Mughlai,2,700,1,0,0,2.9,Average,8,Rs.
18281968,Indo Traditional Kulfi,New Delhi,1,Ice Cream,1,100,0,0,0,3.1,Average,5,Rs.
301830,Jai Shree Durga South Indian Corner,New Delhi,1,South Indian,1,350,0,0,0,3.0,Average,6,Rs.
301830,Jai Shree Durga South Indian Corner,New Delhi,1,Chinese,1,350,0,0,0,3.0,Average,6,Rs.
18460315,Mr. Tandoori Lal,New Delhi,1,Chinese,1,300,0,0,0,0.0,Not rated,3,Rs.
18460315,Mr. Tandoori Lal,New Delhi,1,North Indian,1,300,0,0,0,0.0,Not rated,3,Rs.
307998,Pizza Treat,New Delhi,1,Pizza,1,250,0,0,0,3.0,Average,6,Rs.
307998,Pizza Treat,New Delhi,1,Fast Food,1,250,0,0,0,3.0,Average,6,Rs.
18368012,Sardar Ji Take Away & Caterers,New Delhi,1,North Indian,1,450,0,0,0,0.0,Not rated,2,Rs.
18368012,Sardar Ji Take Away & Caterers,New Delhi,1,Chinese,1,450,0,0,0,0.0,Not rated,2,Rs.
301809,Om Sweets & Caterers,New Delhi,1,North Indian,1,200,0,0,0,0.0,Not rated,3,Rs.
301826,Rita Chinese Food,New Delhi,1,Chinese,1,350,0,0,0,3.1,Average,10,Rs.
312959,Babu Jhatka,New Delhi,1,North Indian,2,500,0,0,0,2.8,Average,5,Rs.
307549,Aggarwal Sweet Centre,New Delhi,1,Mithai,1,100,0,0,0,0.0,Not rated,3,Rs.
307549,Aggarwal Sweet Centre,New Delhi,1,Street Food,1,100,0,0,0,0.0,Not rated,3,Rs.
4036,Supa's Restaurant,New Delhi,1,North Indian,2,800,0,0,1,3.2,Average,50,Rs.
4036,Supa's Restaurant,New Delhi,1,Chinese,2,800,0,0,1,3.2,Average,50,Rs.
300973,Guru Rakha,New Delhi,1,North Indian,2,600,0,0,0,3.1,Average,62,Rs.
307069,Shudh Vaishno Hotel,New Delhi,1,North Indian,1,450,1,0,0,3.4,Average,44,Rs.
18432214,Dilli Darbar Chicken Point,New Delhi,1,Mughlai,1,400,0,0,0,0.0,Not rated,0,Rs.
18469981,Dana Pani,New Delhi,1,North Indian,1,250,0,0,0,0.0,Not rated,0,Rs.
18361217,Radhe Shyam Dhaba,New Delhi,1,North Indian,1,250,0,0,0,0.0,Not rated,0,Rs.
18361211,Prem Chinese Fast Food,New Delhi,1,Chinese,1,150,0,0,0,0.0,Not rated,0,Rs.
18352275,King's Food,New Delhi,1,Chinese,1,250,0,0,0,0.0,Not rated,0,Rs.
18471287,Punjabi Rasoi,New Delhi,1,Fast Food,1,200,0,0,0,0.0,Not rated,0,Rs.
18430900,Lounge Bakery,New Delhi,1,Bakery,1,400,0,0,0,0.0,Not rated,0,Rs.
18471319,Grover Burfee & Cakes,New Delhi,1,Bakery,1,250,0,0,0,0.0,Not rated,0,Rs.
18471319,Grover Burfee & Cakes,New Delhi,1,Chinese,1,250,0,0,0,0.0,Not rated,0,Rs.
18471254,Annpurna Rasoi,New Delhi,1,North Indian,1,200,0,0,0,0.0,Not rated,0,Rs.
18471254,Annpurna Rasoi,New Delhi,1,Fast Food,1,200,0,0,0,0.0,Not rated,0,Rs.
18430911,Kanhaiya Fast Food,New Delhi,1,Chinese,1,300,0,0,0,0.0,Not rated,0,Rs.
18430911,Kanhaiya Fast Food,New Delhi,1,Fast Food,1,300,0,0,0,0.0,Not rated,0,Rs.
306678,Bajrang Misthan Bhawan,New Delhi,1,Mithai,1,100,0,0,0,0.0,Not rated,0,Rs.
304610,Sangeeta Dhaba,New Delhi,1,North Indian,1,300,0,0,0,0.0,Not rated,0,Rs.
18361200,Snack Shack,New Delhi,1,North Indian,1,300,0,0,0,0.0,Not rated,0,Rs.
18361200,Snack Shack,New Delhi,1,Chinese,1,300,0,0,0,0.0,Not rated,0,Rs.
18432222,Anjel China & Tibetian Food,New Delhi,1,Tibetan,1,400,0,0,0,0.0,Not rated,0,Rs.
18432222,Anjel China & Tibetian Food,New Delhi,1,Chinese,1,400,0,0,0,0.0,Not rated,0,Rs.
18471313,Shere Hind Chicken Corner,New Delhi,1,Mughlai,1,300,0,0,0,0.0,Not rated,0,Rs.
306710,Shiv Shakti Dhaba,New Delhi,1,North Indian,1,100,0,0,0,0.0,Not rated,0,Rs.
18430576,Shahi Chicken Point,New Delhi,1,Mughlai,1,200,0,0,0,0.0,Not rated,0,Rs.
18430579,Melting Food Point,New Delhi,1,Chinese,1,300,0,0,0,0.0,Not rated,0,Rs.
18430570,Shree Shyam Sweets,New Delhi,1,Street Food,1,150,0,0,0,0.0,Not rated,0,Rs.
18352287,Chinese Food Point,New Delhi,1,Chinese,1,300,0,0,0,0.0,Not rated,0,Rs.
18464638,Welcome Rasoi,New Delhi,1,North Indian,1,300,0,0,0,0.0,Not rated,0,Rs.
18464638,Welcome Rasoi,New Delhi,1,Fast Food,1,300,0,0,0,0.0,Not rated,0,Rs.
18371399,Bengali Restaurant,New Delhi,1,Bengali,1,150,0,0,0,0.0,Not rated,0,Rs.
18371399,Bengali Restaurant,New Delhi,1,Chinese,1,150,0,0,0,0.0,Not rated,0,Rs.
18416741,Urban Palate,New Delhi,1,Fast Food,1,300,0,0,0,0.0,Not rated,0,Rs.
18462571,Happy Hours,New Delhi,1,Chinese,1,200,0,0,0,0.0,Not rated,0,Rs.
18462571,Happy Hours,New Delhi,1,Fast Food,1,200,0,0,0,0.0,Not rated,0,Rs.
18460302,Khalsa Eating Point,New Delhi,1,North Indian,1,300,0,0,0,0.0,Not rated,0,Rs.
312848,Punjabi Tadka,New Delhi,1,North Indian,1,250,0,0,0,0.0,Not rated,0,Rs.
18429186,Shahi Hyderbadi Biryani,New Delhi,1,Mughlai,1,250,0,0,0,0.0,Not rated,0,Rs.
18369770,Paras Corner,New Delhi,1,Chinese,1,150,0,0,0,0.0,Not rated,0,Rs.
18460299,New Punjabi Chaap Corner,New Delhi,1,Chinese,1,300,0,0,0,0.0,Not rated,0,Rs.
18431181,Diya Chinese Food,New Delhi,1,Chinese,1,300,0,0,0,0.0,Not rated,0,Rs.
18398504,Aggarwal Bikaneri Sweets,New Delhi,1,Mithai,1,100,0,0,0,0.0,Not rated,0,Rs.
313163,A Patisseries Gallery,New Delhi,1,Bakery,1,200,0,0,0,0.0,Not rated,0,Rs.
313163,A Patisseries Gallery,New Delhi,1,Desserts,1,200,0,0,0,0.0,Not rated,0,Rs.
18349241,Curry Man,New Delhi,1,North Indian,1,200,0,0,0,0.0,Not rated,0,Rs.
18431187,Foodies,New Delhi,1,Chinese,1,400,0,0,0,0.0,Not rated,0,Rs.
18371405,Brahm Point Fast Food,New Delhi,1,Fast Food,1,150,0,0,0,0.0,Not rated,0,Rs.
18371405,Brahm Point Fast Food,New Delhi,1,Chinese,1,150,0,0,0,0.0,Not rated,0,Rs.
7271,Pakwan,New Delhi,1,North Indian,2,700,1,0,0,2.1,Poor,45,Rs.
7271,Pakwan,New Delhi,1,Chinese,2,700,1,0,0,2.1,Poor,45,Rs.
7271,Pakwan,New Delhi,1,Mughlai,2,700,1,0,0,2.1,Poor,45,Rs.
5652,New Durga Corner,New Delhi,1,South Indian,1,250,0,0,0,3.2,Average,37,Rs.
4490,Cup Cakes - Radisson Blu,New Delhi,1,Desserts,4,2000,0,0,0,3.1,Average,40,Rs.
4490,Cup Cakes - Radisson Blu,New Delhi,1,Bakery,4,2000,0,0,0,3.1,Average,40,Rs.
7692,Chuk Chuk Mail,New Delhi,1,Chinese,1,300,0,0,0,2.9,Average,44,Rs.
7692,Chuk Chuk Mail,New Delhi,1,Fast Food,1,300,0,0,0,2.9,Average,44,Rs.
18356817,Grill Zone,New Delhi,1,Fast Food,1,300,1,0,0,3.4,Average,23,Rs.
18356817,Grill Zone,New Delhi,1,Italian,1,300,1,0,0,3.4,Average,23,Rs.
18356817,Grill Zone,New Delhi,1,Pizza,1,300,1,0,0,3.4,Average,23,Rs.
300343,Punjabi Handi,New Delhi,1,North Indian,2,650,1,0,0,3.4,Average,39,Rs.
